Country,Month,Total,N_Languages,Max_N,Variance,Skewness,Kurtosis
AUS,2019-04,455749,5,409477,1223393862.4540577,11.554083443812424,131.66594906591396
AUS,2019-05,457544,5,406714,1164810336.9729302,11.760153333572411,136.53368842195283
AUS,2019-06,329399,5,292827,732390713.736664,10.653656507736825,111.66905869150196
AUS,2019-07,497648,5,445014,1583320673.1836135,11.024219045422072,119.69103325398743
AUS,2019-08,507204,7,445807,1419068632.490442,11.67667029133241,134.56389038076043
AUS,2019-09,488881,6,430394,1322851826.841675,11.674381822425488,134.52734643823297
AUS,2019-10,521024,4,458532,1383311125.372604,12.17277196089877,146.44921913247734
AUS,2019-11,537002,5,470714,1517527698.6803968,11.924700785475494,140.46466849204185
AUS,2019-12,527008,5,459960,1469235106.3698528,11.83774970805275,138.42000925496654
AUS,2020-01,514695,5,457266,1451571281.8492136,11.848885629316333,138.59808078352543
AUS,2020-02,472998,5,410212,1202175503.9751287,11.663190992636023,134.35031888041092
AUS,2020-03,552858,5,482304,1530803350.0555944,12.166306795216968,146.34282078483875
TON,2018-10,1994,5,1545,76728.0258064516,5.167143123064429,25.12496118352975
TON,2018-11,2866,6,2152,183386.65666666665,4.567022975389665,19.23979758445768
TON,2018-12,6810,4,3626,731425.3538461536,3.3051551331190505,9.338107791767854
TON,2019-01,3452,6,2580,383923.80882352946,3.6139322782046013,11.388952609330717
TON,2019-02,4320,5,3375,738882.0,3.3987817231132094,9.7386163174646
TON,2019-03,4970,5,2844,418815.22943722963,3.393134246997398,10.691784151262272
TON,2019-04,4402,5,2906,611612.2637362637,2.8856285484247635,7.028032101223955
TON,2019-05,2942,7,2271,241312.49047619043,4.167143789333924,15.593206762272189
TON,2019-06,2712,6,2177,272755.51470588235,3.693709784852319,11.793366336629434
TON,2019-07,4075,5,3032,478586.0409356726,3.836892430832829,13.142242223357641
TON,2019-08,3740,5,1697,251429.67032967036,2.0303831980462532,2.96927779183934
TON,2019-09,2979,5,2572,538884.3863636364,2.982505155538507,6.967482816675359
TON,2019-10,3082,7,2150,263874.9705882353,3.599950297648843,11.335545055224353
TON,2019-11,3552,5,2862,663130.7272727273,2.936439797021713,6.789785796834355
TON,2019-12,2875,5,2453,369269.1625,3.5856912166575055,10.933524090062786
TON,2020-01,2672,6,1693,152865.35672514618,3.5588373992123876,11.595446660044884
TON,2020-02,3754,4,1589,245034.27941176473,2.132801303391966,2.889422651444556
TON,2020-03,6394,4,2802,588204.9090909091,2.768992744700326,5.984750047346909
JPN,2017-04,213184,2,196333,378286122.23607063,9.910678972667789,96.47170060002385
JPN,2017-05,371145,2,342956,1154182214.5180547,9.912930357615787,96.50259611133498
JPN,2017-06,546385,2,505172,2043800878.7354834,11.006637429100552,119.41971174419149
JPN,2017-07,297309,2,276224,763361747.9211106,9.819796026346179,94.6149678907114
JPN,2017-08,108920,2,101123,132804341.40909088,8.576883331601545,71.70824579157099
JPN,2017-09,212032,2,196568,402726550.58245623,9.61204014926772,90.58935531498416
JPN,2017-10,89538,2,82528,90789060.32540542,8.46003427823655,69.7150657223669
JPN,2017-11,2463,4,1922,148188.42666666667,4.510984492116355,18.85823298124118
JPN,2017-12,2985,4,2337,273104.19736842107,3.9468686156280723,14.023671800714549
JPN,2018-01,2284,4,1729,143219.79047619048,4.009383167845282,14.649201942335146
JPN,2018-02,2595,4,2182,261492.49999999994,3.812591510203306,12.713539756171343
JPN,2018-03,1830,4,1354,107903.61764705883,3.5007324945662277,10.776352452148638
JPN,2018-04,1141,4,850,36180.2605263158,3.899365442966651,13.743145144743064
JPN,2018-05,2611,5,2052,145831.96305418716,4.925095178733633,22.777934547484442
JPN,2018-06,1915,4,1537,106701.1883116883,4.24859659796887,16.371449878570083
JPN,2018-07,125452,2,116025,151266744.2247191,9.247688359481394,83.67846861902238
JPN,2018-08,109094,2,100838,132010620.57997267,8.579689261024622,71.74173392355348
JPN,2018-09,163178,2,151004,247875595.58480662,9.408156251567435,86.67408398483289
JPN,2018-10,271762,2,250683,587620506.631811,10.166419130608078,101.56553459559392
JPN,2018-11,288203,2,265439,691325104.6085228,9.913363237380043,96.50900007727871
JPN,2018-12,367216,2,337063,1063090083.296244,10.15468733147284,101.399853633712
JPN,2019-01,377598,2,346728,1093971274.281567,10.30472591890775,104.44861633616591
JPN,2019-02,358730,2,333630,1124464415.5370028,9.774314390449142,93.69015841104651
JPN,2019-03,348518,2,324254,991987931.3814917,10.126306184003727,100.69357160973087
JPN,2019-04,294879,2,273952,735908313.1971465,9.925354179284245,96.67337986936336
JPN,2019-05,304450,2,286728,847543635.7268041,9.677416609615484,91.7688194996029
