,iso3,Total_TW,Twitter: N. Languages,Max_N_TW,Twitter: Variance of Distribution,Twitter: Skewness of Distribution,Twitter: Kurtosis of Distribution,Total_TW2,Twitter LID2: N. Languages,Max_N_TW,Twitter LID2: Variance of Distribution,Twitter LID2: Skewness of Distribution,Twitter LID2: Kurtosis of Distribution,Total_CC,Web: N. Languages,Max_N_CC,Web: Variance of Distribution,Web: Skewness of Distribution,Web: Kurtosis of Distribution,Twitter: HHI,Twitter LID2: HHI,Web: HHI,Twitter: Change During COVID,Twitter: Type of Change During COVID
64,GEO,41892752.0,12,13777148.0,2713066529283.342,6.098253720027732,42.886281039895806,44762141.0,12,13853711.0,2758227049457.4917,6.02325128733123,42.05237966339745,632753273.0,3,492582630.0,7374226311252036.0,5.198774760627908,26.016215625418045,,0.1353519641958547,0.6372130317150384,,No Change
65,GHA,109212000.0,4,99668503.0,82110057242559.67,10.834707568053185,115.59302944939633,121011728.0,5,99933261.0,82700926910818.9,10.774617064998386,114.69914524586044,0.0,0,--,--,--,--,0.8343725621773428,0.5982666414778595,0.0,,No Change
66,GMB,7808094.0,7,5528274.0,448220982328.24915,7.757917104800671,60.04149875432471,8700874.0,8,5557139.0,453001618319.3505,7.704491216879718,59.457410070755245,20165395.0,2,19234833.0,89605028508472.92,1.1520310492510704,-0.6687689069267928,0.5215697645196387,0.3528358947323291,0.9110589207899158,,No Change
67,GNQ,10762195.0,6,5151343.0,502473187108.86255,5.901791565731177,35.805653945560444,11677464.0,7,5190258.0,509827949474.88965,5.866403660758392,35.48683527019276,0.0,0,--,--,--,--,0.3260501869479959,0.2431386585344243,0.0,,No Change
68,GRC,257880325.0,6,174197570.0,252579777726411.5,10.15492936384808,106.01648121696783,266077359.0,6,174496290.0,249556882180801.66,10.228932182881076,107.62963589235157,3706229386.0,2,3370723575.0,3.2506904591776474e+17,5.598077584885262,29.555262201351454,,0.4518625823095768,0.8331897980077572,,No Change
69,GRD,5589637.0,4,4720197.0,467697550707.3293,6.5612841597625815,41.62829917644522,6000012.0,5,4732718.0,470074591428.2341,6.527914470160374,41.330821882277206,73790238.0,5,43469355.0,142981479438776.38,2.6408943101754847,5.753149922200391,,0.5711186605750133,0.4127985434348524,0.049313235,Increasing HHI
70,GRL,0.0,0,--,--,--,--,0.0,0,--,--,--,--,25900238.0,6,12619485.0,21510651172455.332,1.0945939346982736,-0.1350490700043241,,0.0,0.32458225706217286,,No Change
71,GTM,252228165.0,2,227185550.0,408821092573470.75,11.013581504837987,120.10712047927244,257045550.0,2,228815917.0,414612566753132.94,11.013928179093703,120.11338682965722,78823823.0,2,77114069.0,2842905360309612.5,0.0,-2.0,0.8175601068760503,0.7757199994232165,0.9575593277230003,0.033352055,Decreasing HHI
72,GUY,9596695.0,7,7165266.0,681883186868.4803,8.237067812438903,67.49321245260131,12592057.0,8,7203149.0,740249145252.7196,7.427609312288183,57.12075082079894,10130535.0,5,7889779.0,8405162277475.571,1.8877497405166015,1.7856684212947513,0.5756912557821825,0.313047094703622,0.6342542443275708,,No Change
73,HKG,10018917.0,7,7023390.0,680642690117.3026,8.04166606978365,64.48831169670295,11600674.0,8,7081735.0,686459192834.2294,7.969954661145922,63.94338452669852,735327512.0,3,355956332.0,8634854538982766.0,3.3190273143248796,9.038257691729683,,0.3342188474349122,0.46689284753100563,,No Change
74,HND,131875471.0,4,101772393.0,89692415347859.69,10.327748959837061,107.01687606657295,136172634.0,4,102578350.0,91129819925582.77,10.317952435852703,106.87101890348183,212103285.0,2,205138174.0,6921404347110226.0,1.7872794489904724,1.197152980092346,0.611886007915298,0.5466018036483485,0.9359200873089456,,No Change
