,Country,ara,aze,bel,bul,cat,ces,dan,deu,ell,eng_expanding,eng_inner,eng_outer,est,fas,fin,fra,gle,hbs,hin,hun,ind,isl,ita,jpn,kat,kaz,kor,lav,lit,mkd,mon,nld,nor,pol,por,ron,rus,slk,slv,spa,sqi,swe,tam,tgl,tur,ukr,urd,uzb,vie,zho,iso3
51,Norway,563412.0,,,,,183360.0,11808521.0,3358199.0,,31106830.0,,,56725.0,132598.0,818960.0,3084223.0,,,,370342.0,201437.0,1279898.0,,1184273.0,,,,,218462.0,,,2658949.0,1036277283.0,3037925.0,2603043.0,63358.0,980424.0,107883.0,20223.0,3882863.0,66273.0,11859343.0,,,199111.0,,246090.0,,1892869.0,1332405.0,NOR
52,Oman,5508084.0,,,,,,,,,4829042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMN
53,Pakistan,113700.0,3065.0,,,,26100.0,,50605.0,,,,149237210.0,,47333.0,,258955.0,,,,,34048.0,,,696927.0,,,58590.0,,,,,460691.0,,72193.0,137480.0,,287586.0,,,278643.0,29777.0,79770.0,28419.0,,81250.0,,35726464.0,,,55730.0,PAK
54,Palau,1209090.0,,,102483.0,222464.0,45449.0,371274.0,37657845.0,,31106754.0,,,17013.0,1017495.0,365272.0,6302029.0,,,33227.0,61511.0,2690778.0,,,35447966.0,60787.0,,142393.0,,27459.0,,,2391432.0,237910.0,1640756.0,2815505.0,76824.0,27859449.0,,28998.0,3226782.0,113004.0,1566330.0,,,1483219.0,656232.0,,,868772.0,72900369.0,PLW
55,Palestine,97161325.0,,,,,,,107940.0,,8523644.0,,,,,,69401.0,,,,,,,,,,,,,,,,,,,,,,,,78829.0,,,,,9092.0,,,,,,PSE
56,Portugal,394154.0,,,559233.0,187373.0,102055.0,179943.0,3072678.0,,31106771.0,,,29554.0,,287665.0,8712385.0,,,,455241.0,203161.0,,,5344845.0,,,228986.0,,13851.0,,,2474492.0,715402.0,949208.0,1537486965.0,767836.0,11113702.0,110479.0,,19968237.0,,1400203.0,,,246622.0,280082.0,,,132750.0,2575564.0,PRT
57,Qatar,10783360.0,,,,,,,18882.0,,27463034.0,,,,,,672300.0,,,,8343.0,15027.0,,,,,,,,,,,,,,156111.0,,,,,65907.0,,,92034.0,,11408.0,,,,,12752.0,QAT
58,Romania,402333.0,,,253531.0,,115653.0,,5071765.0,,31106982.0,,,,,87610.0,3957758.0,,,,31613909.0,493624.0,,,6696642.0,,,,,108346.0,,,624425.0,385642.0,499174.0,1689120.0,919852120.0,1967422.0,51637.0,78054.0,6110983.0,,109063.0,,,497252.0,,,,64816.0,,ROU
59,Russia,585982.0,206292.0,1195192.0,907865.0,161155.0,540401.0,108183.0,25268644.0,,31107479.0,,,90405.0,267204.0,378485.0,22102930.0,,,334679.0,133013.0,418678.0,,,6478546.0,384309.0,2305629.0,41113.0,214345.0,302497.0,156187.0,51144.0,200520.0,925822.0,1500754.0,2770914.0,585544.0,187762682.0,117142.0,1532861.0,5686504.0,59652.0,258652.0,,274846.0,656626.0,27419146.0,,161063.0,668894.0,1390510.0,RUS
60,Sao_Tome,21083999.0,15730.0,,151204.0,43178.0,129704.0,,1976290.0,,20234524.0,,,,361737.0,28928.0,4296654.0,,,,372228.0,649637.0,,,15123884.0,,13475.0,64918.0,,279672.0,,,151509.0,,1412278.0,3131607.0,388001.0,1275281.0,51775.0,10616.0,1606040.0,441632.0,483326.0,,23891.0,7046469.0,10967.0,128172.0,,6769019.0,503463.0,STP
61,Saudi_Arabia,14651603.0,,,,,,,,,2747057.0,,,,,,41874.0,,,,,,,,,,,,,,,,,,24069.0,,,24489.0,,,40295.0,,,,,,,,,,,SAU
62,Senegal,296331.0,,,,,,,,,3199249.0,,,,,,25306090.0,,,38944.0,,,,,,,,,,,,,,21915.0,,94270.0,,32605.0,,,82194.0,,,,,,,,,,,SEN
63,Seychelles,32159.0,,,,,,,344655.0,,13152594.0,,,,1923900.0,,124010.0,,,,,,,,65640560.0,,,,,,,,129755.0,,95871.0,167969.0,,358121.0,,,327922.0,,,,,11298.0,37119.0,,,,201093.0,SYC
64,Singapore,51236.0,,,,,,190665.0,639074.0,,,,486975239.0,,,23021.0,565476.0,,,635679.0,,3445184.0,,,6339362.0,,,151479.0,,,,,353136.0,,311170.0,778802.0,,491065.0,,12276.0,1333747.0,,163433.0,1209580.0,22260.0,169620.0,,,,315398.0,15819290.0,SGP
65,Slovakia,243050.0,,,147931.0,,106842076.0,,3070067.0,,31106904.0,,,,,86889.0,1584814.0,,,,36454278.0,45483.0,,,15551602.0,,,,329564.0,65789.0,,,2305506.0,93723.0,2471951.0,380596.0,525012.0,1972706.0,1052365917.0,49990.0,1810345.0,,463186.0,,,155290.0,761015.0,,,46037.0,,SVK
66,Somalia,255511.0,,,,,,,20170798.0,,6862303.0,,,,,,116191.0,,,,,,,,3307233.0,,,473910.0,,,,,26016.0,,,706005.0,,10821554.0,,,577150.0,,,,,,36140.0,,,49755.0,6742033.0,SOM
67,South_Korea,30334.0,,,,,,,314376.0,,31106922.0,,,,,123368.0,364480.0,,,,,845316.0,,,3959052.0,,,261404088.0,,,,69640.0,57433.0,82861.0,1035222.0,696073.0,,372881.0,,,1989763.0,,,,225753.0,43150.0,,,,230426.0,656881.0,KOR
68,Spain,559793.0,,,,67479149.0,264413.0,,11711900.0,,31107533.0,,,184009.0,7257110.0,411079.0,18295509.0,,,,464101.0,1317794.0,,,4284878.0,,,,,172086.0,,,2901850.0,,2047937.0,6552991.0,1143906.0,30131324.0,,125599.0,191930257.0,,1468284.0,,,434589.0,,,,,,ESP
69,Sri_Lanka,19878.0,,17962.0,,,,,116921.0,,31107400.0,,,,,,222349.0,,,27548.0,,,,,470028.0,,,22093.0,,19929.0,,,,,71840.0,,,129977.0,,,58039.0,,,12110794.0,,20554.0,,,,,,LKA
70,Sudan,2522356.0,,,,,,,,,693519.0,,,,,,194556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDN
71,Sweden,6009365.0,,,2828102.0,151643.0,951474.0,7707460.0,41226737.0,,31106883.0,,,419820.0,3537014.0,3498065.0,4230135.0,,,,555611.0,409743.0,115257.0,,11087547.0,,,236184.0,77548.0,116079.0,,,2396178.0,3348600.0,4182635.0,2276601.0,567755.0,4278511.0,,1619689.0,9978134.0,813045.0,950902740.0,,,933980.0,,,,323989.0,2084599.0,SWE
72,Switzerland,10066182.0,,,124568.0,107908.0,255243.0,369588.0,203244321.0,,31107392.0,,,,155595.0,526049.0,287015027.0,,,,262704.0,326398.0,,91347927.0,21568767.0,,,567633.0,,43864.0,,,1830430.0,719449.0,1727667.0,9140360.0,654008.0,5616475.0,246557.0,64187.0,17162982.0,3620223.0,771882.0,297479.0,,2174988.0,201639.0,,80492.0,209359.0,6678123.0,CHE
73,Syria,24308507.0,,,,,,,,,3194201.0,,,,,,160695.0,,,,,,,,,,,,,,,,,,,,,67961.0,,,208757.0,,,,,68581.0,,,,,37787.0,SYR
74,Tajikistan,126275.0,,,,,,,,,3246181.0,,,,86825.0,,,,,,,,,,48823.0,,,,,,,,,,,,,15419116.0,,,,,,,,,,,,,,TJK
75,Timor-Leste,1537327.0,,16228.0,77409.0,659373.0,402912.0,26103.0,26577778.0,,21220573.0,,,32229.0,319487.0,,744645.0,,,44130.0,,1336359.0,,,,,,,,38894.0,,,357435.0,276375.0,11227876.0,1741263.0,352037.0,731992.0,,,67680972.0,2634649.0,41034.0,39539.0,17943.0,1910842.0,,248244.0,,3661023.0,148920.0,TLS
76,Trinidad_Tobago,1440273.0,,,,,,,2957407.0,,5434183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19029.0,,,,,,,,,,,,469879.0,TTO
77,Tunisia,3581885.0,,,,,,,,,1846324.0,,,,,,14301192.0,,,,,,,,56512.0,,,34760.0,,,,,,,,,,444704.0,,,,,,,,,,,,,84493.0,TUN
78,Ukraine,366032.0,99047.0,321528.0,138394.0,,,,293193.0,,24827762.0,,,11639.0,,,202958.0,,,,43100.0,165820.0,,,1049310.0,192194.0,100637.0,,49656.0,65883.0,,21803.0,,,651674.0,380384.0,141299.0,187762671.0,,,205262.0,328245.0,,,,94632.0,459282074.0,,74991.0,37839.0,90132.0,UKR
79,United_Arab_Emirates,102370313.0,,,,,39053.0,,449785.0,,31106990.0,,,,214176.0,22109.0,436592.0,,,3500918.0,,154113.0,,,226203.0,,18396.0,7277.0,,,,,336789.0,,60956.0,622187.0,128944.0,4885516.0,,,2761404.0,,132103.0,2152288.0,49926.0,231543.0,11203.0,76787.0,,113260.0,541366.0,ARE
80,United_Kingdom,480958.0,,,,,,,266211.0,,,510574685.0,,,,,601065.0,,,,,60810.0,,,,,,,,,,,56983.0,,1536144.0,512512.0,99369.0,1096517.0,,,455717.0,,,,,,,,,,7037199.0,GBR
81,United_States,44503655.0,,,452006.0,235178.0,576510.0,474164.0,47744710.0,,,510574959.0,,56173.0,14948896.0,585561.0,39958578.0,36062.0,,893894.0,3026348.0,45820237.0,,17669660.0,37859647.0,,,3633436.0,223247.0,1135148.0,25576.0,,3929804.0,605060.0,7142562.0,98038234.0,12701767.0,66987342.0,361693.0,172840.0,56610800.0,382364.0,989486.0,,2098782.0,14712258.0,1416724.0,500282.0,16599.0,29615466.0,138480425.0,USA
82,Uzbekistan,247968.0,65762.0,,,,,,207480.0,,10623675.0,,,,,,192481.0,,,,,,,,855701.0,,399855.0,57192.0,,,,,,,,,,93783947.0,,,115457.0,,,,,70425.0,93112.0,,38268110.0,,49405.0,UZB
83,Vanuatu,1279514.0,,,4606.0,,,,804838.0,,10737288.0,,,,,,149759.0,,,,,4816579.0,,,397591.0,,,,,,,,43901.0,,9663.0,381113.0,,31271.0,,,1959566.0,,,,,9720.0,,,,113222.0,14245.0,VUT
84,Nigeria,,37374.0,,,,,,186587.0,,,,159503502.0,,,,,,,,,,,,,,,66668.0,,78619.0,,,134835.0,,85765.0,,,497936.0,,,127154.0,,,,,,,,,,,NGA
85,Ecuador,,,525016.0,705667.0,,,,52603.0,,9346921.0,,,,,,288342.0,,,,,,,20194.0,1734238.0,,,,,,,,,,1737007.0,70234.0,,91357505.0,,,72452520.0,,,,,,716566.0,,,,37162.0,ECU
86,Serbia,,,61498.0,768268.0,59531.0,15465.0,42295.0,1384157.0,,31106692.0,,,62965.0,,,677558.0,,437785120.0,,3442187.0,16902.0,,,439823.0,,,,45958.0,113924.0,397884.0,,4325172.0,,738705.0,729738.0,427700.0,2622302.0,1669385.0,198718.0,784537.0,,336390.0,,,,473763.0,,,,65162.0,SRB
87,Hungary,,,,213185.0,,313213.0,,5341562.0,,31106650.0,,,83861.0,,127866.0,3165727.0,,,,989980651.0,226324.0,,5150294.0,3565249.0,,,1777818.0,,,,,686033.0,,1057057.0,305620.0,5769992.0,2727729.0,551490.0,38601.0,2328284.0,22013.0,176336.0,,,,180860.0,,,1414832.0,721212.0,HUN
88,Luxembourg,,,,101255.0,,135862.0,251014.0,28356693.0,,31106848.0,,,30628.0,,22863.0,68544525.0,,,,79365.0,,,,192954.0,,,,117420.0,61705.0,,,468356.0,,669134.0,2846234.0,420544.0,374850.0,,,751401.0,,46658.0,,,43160.0,,,,,5558093.0,LUX
